Body Part,LEar,LEar,LEar,LElbow,LElbow,LElbow,LEye,LEye,LEye,LShoulder,LShoulder,LShoulder,LWrist,LWrist,LWrist,MidHip,MidHip,MidHip,Neck,Neck,Neck,Nose,Nose,Nose,REar,REar,REar,RElbow,RElbow,RElbow,REye,REye,REye,RShoulder,RShoulder,RShoulder,RWrist,RWrist,RWrist
Variable,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c
500,395.217,280.934,0.075,431.328,443.817,0.833,387.416,282.141,0.890,409.338,332.599,0.817,432.347,417.183,0.824,368.682,483.025,0.714,366.999,332.554,0.841,381.107,293.408,0.904,349.927,275.926,0.841,295.033,419.636,0.798,370.186,280.892,0.943,320.022,331.067,0.810,318.434,485.450,0.851
501,395.217,280.934,0.075,431.329,443.825,0.833,387.415,282.153,0.891,409.336,332.600,0.818,432.209,417.280,0.825,368.682,483.025,0.714,366.999,332.554,0.840,381.103,293.406,0.904,349.809,276.330,0.841,295.033,419.894,0.798,370.184,280.891,0.942,320.022,331.066,0.809,318.434,485.596,0.850
502,395.233,280.955,0.080,431.329,443.832,0.831,387.417,282.185,0.890,409.445,332.599,0.819,432.041,417.336,0.823,368.682,483.025,0.714,367.001,332.553,0.841,381.102,293.404,0.905,349.923,276.424,0.841,295.030,420.120,0.799,370.182,280.892,0.942,320.025,331.066,0.808,318.435,485.694,0.851
503,395.233,280.955,0.080,431.327,443.836,0.830,387.418,282.238,0.889,409.443,332.598,0.819,431.860,417.556,0.823,368.682,483.025,0.714,367.115,332.552,0.841,381.101,293.404,0.905,349.804,276.322,0.842,295.027,420.293,0.801,370.180,280.894,0.942,320.025,331.067,0.807,318.434,485.640,0.852
504,,,,431.324,443.837,0.830,387.419,282.311,0.888,409.237,332.597,0.820,431.689,417.805,0.823,368.682,483.025,0.714,366.999,332.552,0.842,381.099,293.406,0.906,349.823,275.912,0.842,295.023,420.507,0.803,370.177,280.897,0.941,320.024,331.069,0.807,318.436,485.804,0.853
505,,,,431.321,443.839,0.830,387.419,282.405,0.887,409.072,332.596,0.820,431.550,418.071,0.825,368.682,483.025,0.714,366.905,332.552,0.842,381.098,293.409,0.907,349.749,275.797,0.842,295.021,420.508,0.804,370.176,280.899,0.942,320.023,331.071,0.807,318.435,485.592,0.854
506,,,,431.321,443.726,0.829,387.420,282.519,0.885,408.946,332.591,0.821,431.460,418.331,0.829,368.682,483.025,0.714,366.830,332.550,0.842,381.097,293.414,0.908,349.601,275.630,0.841,295.018,420.187,0.805,370.173,280.902,0.941,320.022,331.071,0.807,318.433,485.345,0.855
507,,,,431.209,443.724,0.829,387.419,282.413,0.884,408.863,332.590,0.822,431.438,418.559,0.831,368.682,483.025,0.714,366.776,332.550,0.843,381.094,293.418,0.908,349.282,275.322,0.842,295.018,420.133,0.804,370.169,280.903,0.941,320.021,331.072,0.807,318.432,485.301,0.855
508,,,,431.320,443.932,0.825,387.419,282.415,0.883,408.822,332.591,0.822,431.507,418.735,0.835,368.682,483.025,0.714,366.859,332.551,0.843,381.094,293.422,0.909,349.163,275.121,0.842,295.020,420.007,0.802,370.167,280.904,0.941,320.023,331.072,0.808,318.432,485.457,0.854
