Session,Inst Name,Tala,Label,Matra,Half beat,Half,Misc 1,Misc 2,Cadence,Tabla solo,Inst,Tabla,Inst Density,Tabla Density,Inst Peak,Tabla Peak,Inst Player,Tabla Player ,Chunk
AnuBh_Vil,Sitar,Vilambit teental,1|1,1,On,2,,,,N,6.897467,6.90658,,0.5,,0.005351,Anupama Bhagwat,Gurdain Rayatt,2A
AnuBh_Vil,Sitar,Vilambit teental,1|1&,1,&,2,,,,N,,,,,,,Anupama Bhagwat,Gurdain Rayatt,2A
AnuBh_Vil,Sitar,Vilambit teental,1|2,2,On,2,,,,N,8.255119,,4.5,,0.068476,,Anupama Bhagwat,Gurdain Rayatt,2A
AnuBh_Vil,Sitar,Vilambit teental,1|2&,2,&,2,,,,N,,,,,,,Anupama Bhagwat,Gurdain Rayatt,2A
AnuBh_Vil,Sitar,Vilambit teental,1|3,3,On,2,,,,N,9.580575,,,,,,Anupama Bhagwat,Gurdain Rayatt,2A
AnuBh_Vil,Sitar,Vilambit teental,1|3&,3,&,2,,,,N,,,,,,,Anupama Bhagwat,Gurdain Rayatt,2A
AnuBh_Vil,Sitar,Vilambit teental,1|4,4,On,2,,,,N,11.031762,10.9887,,0.5,,0.005537,Anupama Bhagwat,Gurdain Rayatt,2A
AnuBh_Vil,Sitar,Vilambit teental,1|4&,4,&,2,,,,N,11.641697,11.627714,3.5,1,0.14307,0.046306,Anupama Bhagwat,Gurdain Rayatt,2A
AnuBh_Vil,Sitar,Vilambit teental,1|5,5,On,2,,,,N,12.319707,12.316693,5,1.5,0.221604,0.314061,Anupama Bhagwat,Gurdain Rayatt,2A
AnuBh_Vil,Sitar,Vilambit teental,1|5&,5,&,2,,,,N,,,,,,,Anupama Bhagwat,Gurdain Rayatt,2A
AnuBh_Vil,Sitar,Vilambit teental,1|6,6,On,2,,,,N,13.741467,,,,,,Anupama Bhagwat,Gurdain Rayatt,2A
AnuBh_Vil,Sitar,Vilambit teental,1|6&,6,&,2,,,,N,14.428071,,,,,,Anupama Bhagwat,Gurdain Rayatt,2A
AnuBh_Vil,Sitar,Vilambit teental,1|7,7,On,2,,,,N,15.086013,15.056983,6,2,0.088763,0.072304,Anupama Bhagwat,Gurdain Rayatt,2A
AnuBh_Vil,Sitar,Vilambit teental,1|7&,7,&,2,,,,N,,15.74631,,2.5,,0.058264,Anupama Bhagwat,Gurdain Rayatt,2A
AnuBh_Vil,Sitar,Vilambit teental,1|8,8,On,2,,,,N,16.412272,16.393383,4.5,2.5,0.077073,0.07156,Anupama Bhagwat,Gurdain Rayatt,2A
AnuBh_Vil,Sitar,Vilambit teental,1|8&,8,&,2,,,,N,,17.069641,,2,,0.037946,Anupama Bhagwat,Gurdain Rayatt,2A
AnuBh_Vil,Sitar,Vilambit teental,1|9,9,On,2,,,,N,17.754048,17.781607,2.5,2.5,0.07325,0.174768,Anupama Bhagwat,Gurdain Rayatt,2A
AnuBh_Vil,Sitar,Vilambit teental,1|9&,9,&,2,,,,N,,,,,,,Anupama Bhagwat,Gurdain Rayatt,2A
