Session,Inst Name,Tala,Label,Matra,Half beat,Half,Misc 1,Misc 2,Cadence,Tabla solo,Inst,Tabla,Inst Density,Tabla Density,Inst Peak,Tabla Peak,Inst Player,Tabla Player ,Chunk
PrB_Rup,Sarod,Rupak,48|5&,5,&,2,,,,N,-1.422818,-1.431763,5.5,5,0.06808,0.064475,Prattyush Banerjee,Gauri Shankar Karmarkar,1C
PrB_Rup,Sarod,Rupak,48|6,6,On,2,,,,N,,-1.073463,,4.5,,0.112204,Prattyush Banerjee,Gauri Shankar Karmarkar,1C
PrB_Rup,Sarod,Rupak,48|6&,6,&,2,,,,N,,-0.671436,,4.5,,0.130844,Prattyush Banerjee,Gauri Shankar Karmarkar,1C
PrB_Rup,Sarod,Rupak,48|7,7,On,2,,,,N,,-0.313006,,4.5,,0.091038,Prattyush Banerjee,Gauri Shankar Karmarkar,1C
PrB_Rup,Sarod,Rupak,48|7&,7,&,2,,,,N,0.087553,0.060727,4,3.5,0.088224,0.091305,Prattyush Banerjee,Gauri Shankar Karmarkar,1C
PrB_Rup,Sarod,Rupak,49|1,1,On,2,,,,N,0.462874,0.456172,3.5,4,0.43577,0.11451,Prattyush Banerjee,Gauri Shankar Karmarkar,1C
PrB_Rup,Sarod,Rupak,49|1&,1,&,2,,,,N,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1C
PrB_Rup,Sarod,Rupak,49|2,2,On,2,,,,N,,1.220168,,3,,0.036063,Prattyush Banerjee,Gauri Shankar Karmarkar,1C
PrB_Rup,Sarod,Rupak,49|2&,2,&,2,,,,N,1.617956,1.588248,2.5,3,0.662545,0.089909,Prattyush Banerjee,Gauri Shankar Karmarkar,1C
PrB_Rup,Sarod,Rupak,49|3,3,On,2,,,,N,1.953633,1.965036,2.5,3,0.068407,0.112277,Prattyush Banerjee,Gauri Shankar Karmarkar,1C
PrB_Rup,Sarod,Rupak,49|3&,3,&,2,,,,N,,2.333689,,3,,0.056372,Prattyush Banerjee,Gauri Shankar Karmarkar,1C
PrB_Rup,Sarod,Rupak,49|4,4,On,2,,,,N,2.696574,2.700691,4,3,0.505889,0.129133,Prattyush Banerjee,Gauri Shankar Karmarkar,1C
PrB_Rup,Sarod,Rupak,49|4&,4,&,2,,,,N,3.031101,3.083512,5.5,4,0.079282,0.119426,Prattyush Banerjee,Gauri Shankar Karmarkar,1C
PrB_Rup,Sarod,Rupak,49|5,5,On,2,,,,N,3.412523,3.451533,6,4.5,0.131479,0.080317,Prattyush Banerjee,Gauri Shankar Karmarkar,1C
PrB_Rup,Sarod,Rupak,49|5&,5,&,2,,,,N,3.801318,3.808793,6.5,4.5,0.684426,0.09949,Prattyush Banerjee,Gauri Shankar Karmarkar,1C
PrB_Rup,Sarod,Rupak,49|6,6,On,2,,,,N,4.170599,4.187767,7,4.5,0.601364,0.111749,Prattyush Banerjee,Gauri Shankar Karmarkar,1C
PrB_Rup,Sarod,Rupak,49|6&,6,&,2,,,,N,4.589946,4.558639,7,5,0.238508,0.147576,Prattyush Banerjee,Gauri Shankar Karmarkar,1C
PrB_Rup,Sarod,Rupak,49|7,7,On,2,,,,N,4.932103,4.930655,6.5,5.5,0.076263,0.088568,Prattyush Banerjee,Gauri Shankar Karmarkar,1C
PrB_Rup,Sarod,Rupak,49|7&,7,&,2,,,,N,5.280179,5.301133,6,4.5,0.537391,0.066568,Prattyush Banerjee,Gauri Shankar Karmarkar,1C
